№,Код_поставщика,Наименование_поставщика,Код_потребителя,Наименование_потребителя,Тип_связи,Сила_связи,Примечание
4454,45.40,"Торговля мотоциклами, их деталями, узлами и принадлежностями; техническое обслуживание и ремонт мотоциклов",95.29,Ремонт прочих предметов личного потребления и бытовых товаров,Ссылка в классификаторе,2,"Деятельность '45.40' не включает операции, относящиеся к '95.29': ремонт и техническое обслуживание велосипедов"
4455,46.12,"Деятельность агентов по оптовой торговле топливом, рудами, металлами и химическими веществами",46.2,Торговля оптовая сельскохозяйственным сырьем и живыми животными,Ссылка в классификаторе,3,"Деятельность '46.12' не включает операции, относящиеся к '46.2': оптовую торговлю от собственного имени"
4456,46.12,"Деятельность агентов по оптовой торговле топливом, рудами, металлами и химическими веществами",47.99,"Торговля розничная прочая вне магазинов, палаток, рынков",Ссылка в классификаторе,2,"Деятельность '46.12' не включает операции, относящиеся к '47.99': розничную торговлю, осуществляемую комиссионными агентами вне магазинов"
4457,46.14,"Деятельность агентов по оптовой торговле машинами, промышленным оборудованием, судами и летательными аппаратами",45.1,Торговля автотранспортными средствами,Ссылка в классификаторе,2,"Деятельность '46.14' не включает операции, относящиеся к '45.1': деятельность комиссионных агентов по продаже автотранспортных средств"
4458,46.14,"Деятельность агентов по оптовой торговле машинами, промышленным оборудованием, судами и летательными аппаратами",46.2,Торговля оптовая сельскохозяйственным сырьем и живыми животными,Ссылка в классификаторе,3,"Деятельность '46.14' не включает операции, относящиеся к '46.2': оптовую торговлю от собственного имени"
4459,46.14,"Деятельность агентов по оптовой торговле машинами, промышленным оборудованием, судами и летательными аппаратами",47.99,"Торговля розничная прочая вне магазинов, палаток, рынков",Ссылка в классификаторе,2,"Деятельность '46.14' не включает операции, относящиеся к '47.99': розничную торговлю, осуществляемую комиссионными агентами вне магазинов"
4460,46.15,"Деятельность агентов по оптовой торговле мебелью, бытовыми товарами, скобяными, ножевыми и прочими металлическими изделиями",46.2,Торговля оптовая сельскохозяйственным сырьем и живыми животными,Ссылка в классификаторе,3,"Деятельность '46.15' не включает операции, относящиеся к '46.2': оптовую торговлю от собственного имени"
4461,46.15,"Деятельность агентов по оптовой торговле мебелью, бытовыми товарами, скобяными, ножевыми и прочими металлическими изделиями",47.99,"Торговля розничная прочая вне магазинов, палаток, рынков",Ссылка в классификаторе,2,"Деятельность '46.15' не включает операции, относящиеся к '47.99': розничную торговлю, осуществляемую комиссионными агентами вне магазинов"
4462,46.16,"Деятельность агентов по оптовой торговле текстильными изделиями, одеждой, обувью, изделиями из кожи и меха",46.2,Торговля оптовая сельскохозяйственным сырьем и живыми животными,Ссылка в классификаторе,3,"Деятельность '46.16' не включает операции, относящиеся к '46.2': оптовую торговлю от собственного имени"
4463,46.16,"Деятельность агентов по оптовой торговле текстильными изделиями, одеждой, обувью, изделиями из кожи и меха",47.99,"Торговля розничная прочая вне магазинов, палаток, рынков",Ссылка в классификаторе,2,"Деятельность '46.16' не включает операции, относящиеся к '47.99': розничную торговлю, осуществляемую комиссионными агентами вне магазинов"
4464,46.17,"Деятельность агентов по оптовой торговле пищевыми продуктами, напитками и табачными изделиями",46.2,Торговля оптовая сельскохозяйственным сырьем и живыми животными,Ссылка в классификаторе,3,"Деятельность '46.17' не включает операции, относящиеся к '46.2': оптовую торговлю от собственного имени"
4465,46.17,"Деятельность агентов по оптовой торговле пищевыми продуктами, напитками и табачными изделиями",47.99,"Торговля розничная прочая вне магазинов, палаток, рынков",Ссылка в классификаторе,2,"Деятельность '46.17' не включает операции, относящиеся к '47.99': розничную торговлю, осуществляемую комиссионными агентами вне магазинов"
4466,46.18,"Деятельность агентов, специализирующихся на оптовой торговле прочими отдельными видами товаров",46.2,Торговля оптовая сельскохозяйственным сырьем и живыми животными,Ссылка в классификаторе,3,"Деятельность '46.18' не включает операции, относящиеся к '46.2': оптовую торговлю от собственного имени"
4467,46.18,"Деятельность агентов, специализирующихся на оптовой торговле прочими отдельными видами товаров",47.99,"Торговля розничная прочая вне магазинов, палаток, рынков",Ссылка в классификаторе,2,"Деятельность '46.18' не включает операции, относящиеся к '47.99': розничную торговлю, осуществляемую комиссионными агентами вне магазинов"
4468,46.18,"Деятельность агентов, специализирующихся на оптовой торговле прочими отдельными видами товаров",66.22,Деятельность страховых агентов и брокеров,Ссылка в классификаторе,2,"Деятельность '46.18' не включает операции, относящиеся к '66.22': деятельность страховых агентов"
4469,46.18,"Деятельность агентов, специализирующихся на оптовой торговле прочими отдельными видами товаров",68.31,Деятельность агентств недвижимости за вознаграждение или на договорной основе,Ссылка в классификаторе,2,"Деятельность '46.18' не включает операции, относящиеся к '68.31': деятельность агентов по операциям с недвижимостью"
4470,46.21,"Торговля оптовая зерном, необработанным табаком, семенами и кормами для сельскохозяйственных животных",46.47,"Торговля оптовая мебелью, коврами и осветительным оборудованием",Ссылка в классификаторе,3,"Деятельность '46.21' не включает операции, относящиеся к '46.47': оптовую торговлю текстильными волокнами"
4471,46.41,Торговля оптовая текстильными изделиями,46.76,Торговля оптовая прочими промежуточными продуктами,Ссылка в классификаторе,3,"Деятельность '46.41' не включает операции, относящиеся к '46.76': оптовую торговлю текстильными волокнами"
4472,46.42,Торговля оптовая одеждой и обувью,46.48,Торговля оптовая часами и ювелирными изделиями,Ссылка в классификаторе,3,"Деятельность '46.42' не включает операции, относящиеся к '46.48': оптовую торговлю ювелирными изделиями"
4473,46.42,Торговля оптовая одеждой и обувью,46.49,Торговля оптовая прочими бытовыми товарами,Ссылка в классификаторе,3,"Деятельность '46.42' не включает операции, относящиеся к '46.49': оптовую торговлю изделиями из кожи"
4474,46.43,Торговля оптовая бытовыми электротоварами,46.52,Торговля оптовая электронным и телекоммуникационным оборудованием и его запасными частями,Ссылка в классификаторе,3,"Деятельность '46.43' не включает операции, относящиеся к '46.52': и видеопленками, CD и DVD без записи"
4475,46.43,Торговля оптовая бытовыми электротоварами,46.64,"Торговля оптовая машинами и оборудованием для текстильного, швейного и трикотажного производств",Ссылка в классификаторе,3,"Деятельность '46.43' не включает операции, относящиеся к '46.64': оптовую торговлю швейными машинами"
4476,46.47,"Торговля оптовая мебелью, коврами и осветительным оборудованием",46.65,Торговля оптовая офисной мебелью,Ссылка в классификаторе,3,"Деятельность '46.47' не включает операции, относящиеся к '46.65': оптовую торговлю офисной мебелью"
4477,46.51,"Торговля оптовая компьютерами, периферийными устройствами к компьютерам и программным обеспечением",46.52,Торговля оптовая электронным и телекоммуникационным оборудованием и его запасными частями,Ссылка в классификаторе,3,"Деятельность '46.51' не включает операции, относящиеся к '46.52': оптовую торговлю электронными комплектующими изделиями"
4478,46.51,"Торговля оптовая компьютерами, периферийными устройствами к компьютерам и программным обеспечением",46.66,Торговля оптовая прочей офисной техникой и оборудованием,Ссылка в классификаторе,3,"Деятельность '46.51' не включает операции, относящиеся к '46.66': оптовую торговлю офисным оборудованием (кроме компьютеров и периферийной аппаратуры к ним)"
4479,46.52,Торговля оптовая электронным и телекоммуникационным оборудованием и его запасными частями,46.43,Торговля оптовая бытовыми электротоварами,Ссылка в классификаторе,3,"Деятельность '46.52' не включает операции, относящиеся к '46.43': и видеокассетами, CD и DVD с записями"
4480,46.52,Торговля оптовая электронным и телекоммуникационным оборудованием и его запасными частями,46.51,"Торговля оптовая компьютерами, периферийными устройствами к компьютерам и программным обеспечением",Ссылка в классификаторе,3,"Деятельность '46.52' не включает операции, относящиеся к '46.51': оптовую торговлю компьютерами и периферийным компьютерным оборудованием"
4481,46.66,Торговля оптовая прочей офисной техникой и оборудованием,46.51,"Торговля оптовая компьютерами, периферийными устройствами к компьютерам и программным обеспечением",Ссылка в классификаторе,3,"Деятельность '46.66' не включает операции, относящиеся к '46.51': оптовую торговлю компьютерами и периферийным оборудованием к ним"
4482,46.66,Торговля оптовая прочей офисной техникой и оборудованием,46.52,Торговля оптовая электронным и телекоммуникационным оборудованием и его запасными частями,Ссылка в классификаторе,3,"Деятельность '46.66' не включает операции, относящиеся к '46.52': оптовую торговлю электронными комплектующими изделиями для телефонов и коммуникационным оборудование"
4483,46.72,Торговля оптовая металлами и металлическими рудами,46.77,Торговля оптовая отходами и ломом,Ссылка в классификаторе,3,"Деятельность '46.72' не включает операции, относящиеся к '46.77': оптовую торговлю металлическим ломом"
4484,46.77,Торговля оптовая отходами и ломом,38.1,Сбор отходов,Ссылка в классификаторе,2,"Деятельность '46.77' не включает операции, относящиеся к '38.1': сбор бытовых промышленных отходов"
4485,46.77,Торговля оптовая отходами и ломом,38.2,Обработка и утилизация отходов,Ссылка в классификаторе,3,"Деятельность '46.77' не включает операции, относящиеся к '38.2': переработку отходов не для дальнейшего использования в производственном процессе, ас целью уничтожен"
4486,46.77,Торговля оптовая отходами и ломом,38.3,Деятельность по обработке вторичного сырья,Ссылка в классификаторе,3,"Деятельность '46.77' не включает операции, относящиеся к '38.3': переработку отходов, мусора, лома и прочих предметов во вторичное сырье, когда требуется их регенера"
4487,46.77,Торговля оптовая отходами и ломом,38.31,"Демонтаж техники, не подлежащей восстановлению",Ссылка в классификаторе,2,"Деятельность '46.77' не включает операции, относящиеся к '38.31': демонтаж автомобилей, компьютеров и телевизоров и прочего оборудования для регенерации составляющих "
4488,46.77,Торговля оптовая отходами и ломом,38.32,Утилизация отсортированных материалов,Ссылка в классификаторе,2,"Деятельность '46.77' не включает операции, относящиеся к '38.32': демонтаж автомобилей посредством механического процесса"
4489,46.77,Торговля оптовая отходами и ломом,47.79,Торговля розничная бывшими в употреблении товарами в магазинах,Ссылка в классификаторе,2,"Деятельность '46.77' не включает операции, относящиеся к '47.79': розничную продажу бывших в употреблении товаров"
4490,47.30,Торговля розничная моторным топливом в специализированных магазинах,46.71,"Торговля оптовая твердым, жидким и газообразным топливом и подобными продуктами",Ссылка в классификаторе,2,"Деятельность '47.30' не включает операции, относящиеся к '46.71': оптовую торговлю топливом"
4491,47.30,Торговля розничная моторным топливом в специализированных магазинах,47.78,Торговля розничная прочая в специализированных магазинах,Ссылка в классификаторе,3,"Деятельность '47.30' не включает операции, относящиеся к '47.78': розничную торговлю сжиженным газом для приготовления пищи или отопления"
4492,47.41,"Торговля розничная компьютерами, периферийными устройствами к ним и программным обеспечением в специализированных магазинах",47.63,Торговля розничная музыкальными и видеозаписями в специализированных магазинах,Ссылка в классификаторе,3,"Деятельность '47.41' не включает операции, относящиеся к '47.63': розничную торговлю магнитными лентами и дисками без записи"
4493,47.51,Торговля розничная текстильными изделиями в специализированных магазинах,47.71,Торговля розничная одеждой в специализированных магазинах,Ссылка в классификаторе,3,"Деятельность '47.51' не включает операции, относящиеся к '47.71': розничную торговлю одеждой"
4494,47.53,"Торговля розничная коврами, ковровыми изделиями, покрытиями для пола и стен в специализированных магазинах",47.52,"Торговля розничная скобяными изделиями, лакокрасочными материалами и стеклом в специализированных магазинах",Ссылка в классификаторе,3,"Деятельность '47.53' не включает операции, относящиеся к '47.52': розничную торговлю плитками для пола из пробки"
4495,47.54,Торговля розничная бытовыми электротоварами в специализированных магазинах,47.43,Торговля розничная аудио- и видеотехникой в специализированных магазинах,Ссылка в классификаторе,3,"Деятельность '47.54' не включает операции, относящиеся к '47.43': и видеооборудованием"
4496,47.59,"Торговля розничная мебелью, осветительными приборами и прочими бытовыми изделиями в специализированных магазинах",47.79,Торговля розничная бывшими в употреблении товарами в магазинах,Ссылка в классификаторе,3,"Деятельность '47.59' не включает операции, относящиеся к '47.79': розничную торговлю предметами антиквариата"
4497,47.61,Торговля розничная книгами в специализированных магазинах,47.79,Торговля розничная бывшими в употреблении товарами в магазинах,Ссылка в классификаторе,3,"Деятельность '47.61' не включает операции, относящиеся к '47.79': розничную торговлю букинистическими или антикварными книгами"
4498,47.65,Торговля розничная играми и игрушками в специализированных магазинах,47.41,"Торговля розничная компьютерами, периферийными устройствами к ним и программным обеспечением в специализированных магазинах",Ссылка в классификаторе,3,"Деятельность '47.65' не включает операции, относящиеся к '47.41': розничную торговлю консолями для видеоигр"
4499,47.71,Торговля розничная одеждой в специализированных магазинах,47.51,Торговля розничная текстильными изделиями в специализированных магазинах,Ссылка в классификаторе,3,"Деятельность '47.71' не включает операции, относящиеся к '47.51': розничную торговлютекстильными товарами"
4500,47.72,Торговля розничная обувью и изделиями из кожи в специализированных магазинах,47.64,Торговля розничная спортивным оборудованием и спортивными товарами в специализированных магазинах,Ссылка в классификаторе,3,"Деятельность '47.72' не включает операции, относящиеся к '47.64': розничную торговлю специализированной спортивной обувью, такой как лыжные ботинки"
4501,47.78,Торговля розничная прочая в специализированных магазинах,94.91,Деятельность религиозных организаций,Ссылка в классификаторе,2,"Деятельность '47.78' не включает операции, относящиеся к '94.91': реализацию религиозными организациями предметов религиозного назначения и религиозной литературы"
4502,47.79,Торговля розничная бывшими в употреблении товарами в магазинах,45.11,Торговля легковыми автомобилями и грузовыми автомобилями малой грузоподъемности,Ссылка в классификаторе,2,"Деятельность '47.79' не включает операции, относящиеся к '45.11': розничную торговлю бывшими в употреблении автомобилями"
4503,47.79,Торговля розничная бывшими в употреблении товарами в магазинах,47.91,Торговля розничная по почте или по информационно-коммуникационной сети Интернет,Ссылка в классификаторе,3,"Деятельность '47.79' не включает операции, относящиеся к '47.91': аукционами и прочими аукционами, проводимыми не через магазины"
4504,47.79,Торговля розничная бывшими в употреблении товарами в магазинах,64.92,Предоставление займов и прочих видов кредита,Ссылка в классификаторе,2,"Деятельность '47.79' не включает операции, относящиеся к '64.92': предоставление услуг комиссионных магазинов"
4505,49.10,Деятельность железнодорожного транспорта: междугородные и международные пассажирские перевозки,49.31,Деятельность сухопутного пассажирского транспорта: внутригородские и пригородные перевозки пассажиров,Ссылка в классификаторе,3,"Деятельность '49.10' не включает операции, относящиеся к '49.31': деятельность пассажирского транспорта, осуществляющего внутригородские и пригородные перевозки пасса"
4506,49.10,Деятельность железнодорожного транспорта: междугородные и международные пассажирские перевозки,52.21,"Деятельность вспомогательная, связанная с сухопутным транспортом",Ссылка в классификаторе,2,"Деятельность '49.10' не включает операции, относящиеся к '52.21': деятельность пассажирских вокзалов и терминалов"
4507,49.10,Деятельность железнодорожного транспорта: междугородные и международные пассажирские перевозки,55.90,Деятельность по предоставлению прочих мест для временного проживания,Ссылка в классификаторе,2,"Деятельность '49.10' не включает операции, относящиеся к '55.90': ресторанов, если они предоставляются отдельными фирмами"
4508,49.20,Деятельность железнодорожного транспорта: грузовые перевозки,52.10,Деятельность по складированию и хранению,Ссылка в классификаторе,2,"Деятельность '49.20' не включает операции, относящиеся к '52.10': складирование и хранение грузов"
4509,49.20,Деятельность железнодорожного транспорта: грузовые перевозки,52.21,"Деятельность вспомогательная, связанная с сухопутным транспортом",Ссылка в классификаторе,2,"Деятельность '49.20' не включает операции, относящиеся к '52.21': деятельность грузовых терминалов"
4510,49.20,Деятельность железнодорожного транспорта: грузовые перевозки,52.24,Транспортная обработка грузов,Ссылка в классификаторе,2,"Деятельность '49.20' не включает операции, относящиеся к '52.24': разгрузочные работы"
4511,52.22,"Деятельность вспомогательная, связанная с водным транспортом",52.24,Транспортная обработка грузов,Ссылка в классификаторе,3,"Деятельность '52.22' не включает операции, относящиеся к '52.24': разгрузочные работы"
4512,52.22,"Деятельность вспомогательная, связанная с водным транспортом",93.29,Деятельность зрелищно-развлекательная прочая,Ссылка в классификаторе,2,"Деятельность '52.22' не включает операции, относящиеся к '93.29': деятельность причалов для прогулочных судов"
4513,52.24,Транспортная обработка грузов,52.21,"Деятельность вспомогательная, связанная с сухопутным транспортом",Ссылка в классификаторе,3,"Деятельность '52.24' не включает операции, относящиеся к '52.21': деятельность терминалов"
4514,52.29,"Деятельность вспомогательная прочая, связанная с перевозками",65.12,"Страхование, кроме страхования жизни",Ссылка в классификаторе,2,"Деятельность '52.29' не включает операции, относящиеся к '65.12': деятельность, связанную со страхованием наземных, водных, воздушных и космических средств"
4515,52.29,"Деятельность вспомогательная прочая, связанная с перевозками",79.11,Деятельность туристических агентств,Ссылка в классификаторе,2,"Деятельность '52.29' не включает операции, относящиеся к '79.11': деятельность туроператоров и туристических агентств"
4516,52.29,"Деятельность вспомогательная прочая, связанная с перевозками",79.90,Услуги по бронированию прочие и сопутствующая деятельность,Ссылка в классификаторе,2,"Деятельность '52.29' не включает операции, относящиеся к '79.90': деятельность, связаннуюс содействием туристам"
4517,53.10,Деятельность почтовой связи общего пользования,64.19,Денежное посредничество прочее,Ссылка в классификаторе,2,"Деятельность '53.10' не включает операции, относящиеся к '64.19': сберегательными банками"
4518,55.20,Деятельность по предоставлению мест для краткосрочного проживания,55.10,Деятельность гостиниц и прочих мест для временного проживания,Ссылка в классификаторе,3,"Деятельность '55.20' не включает операции, относящиеся к '55.10': обеспечение комфортабельного меблированного временного жилья с услугами по заправке постели, смене п"
4519,56.21,Деятельность предприятий общественного питания по обслуживанию торжественных мероприятий,10.89,"Производство прочих пищевых продуктов, не включенных в другие группировки",Ссылка в классификаторе,3,"Деятельность '56.21' не включает операции, относящиеся к '10.89': изготовление скоропортящихся продуктов для перепродажи"
4520,56.29,Деятельность предприятий общественного питания по прочим видам организации питания,10.89,"Производство прочих пищевых продуктов, не включенных в другие группировки",Ссылка в классификаторе,2,"Деятельность '56.29' не включает операции, относящиеся к '10.89': приготовление скоропортящихся продуктов для перепродажи"
4521,56.30,Подача напитков,47.99,"Торговля розничная прочая вне магазинов, палаток, рынков",Ссылка в классификаторе,2,"Деятельность '56.30' не включает операции, относящиеся к '47.99': розничную продажу напитков через торговые автоматы"
4522,56.30,Подача напитков,93.29,Деятельность зрелищно-развлекательная прочая,Ссылка в классификаторе,2,"Деятельность '56.30' не включает операции, относящиеся к '93.29': функционирование дискотек и танцевальных площадок без обслуживания напитками"
4523,58.13,Издание газет,63.91,Деятельность информационных агентств,Ссылка в классификаторе,4,Деятельность '58.13' связана с '63.91' в части: деятельность информационных агентств
4524,58.19,Виды издательской деятельности прочие,58.13,Издание газет,Ссылка в классификаторе,3,"Деятельность '58.19' не включает операции, относящиеся к '58.13': издание рекламных газет"
4525,58.19,Виды издательской деятельности прочие,63.11,"Деятельность по обработке данных, предоставление услуг по размещению информации и связанная с этим деятельность",Ссылка в классификаторе,2,"Деятельность '58.19' не включает операции, относящиеся к '63.11': выпуск интерактивного программного обеспечения (предоставление прикладного хостинга, предоставление "
4526,58.29,Издание прочих программных продуктов,18.20,Копирование записанных носителей информации,Ссылка в классификаторе,2,"Деятельность '58.29' не включает операции, относящиеся к '18.20': воспроизведение программного обеспечения"
4527,58.29,Издание прочих программных продуктов,47.41,"Торговля розничная компьютерами, периферийными устройствами к ним и программным обеспечением в специализированных магазинах",Ссылка в классификаторе,2,"Деятельность '58.29' не включает операции, относящиеся к '47.41': розничную торговлю готового программного обеспечения"
4528,58.29,Издание прочих программных продуктов,62.01,Разработка компьютерного программного обеспечения,Ссылка в классификаторе,3,"Деятельность '58.29' не включает операции, относящиеся к '62.01': производство программного обеспечения, не связанного с изданием, включая перевод или адаптацию прогр"
4529,58.29,Издание прочих программных продуктов,63.11,"Деятельность по обработке данных, предоставление услуг по размещению информации и связанная с этим деятельность",Ссылка в классификаторе,2,"Деятельность '58.29' не включает операции, относящиеся к '63.11': интерактивное предоставление программного обеспечения (предоставление прикладного хостинга, предоста"
4530,59.11,"Производство кинофильмов, видеофильмов и телевизионных программ",18.20,Копирование записанных носителей информации,Ссылка в классификаторе,2,"Деятельность '59.11' не включает операции, относящиеся к '18.20': дисков или цифровых видеодисков с оригинальной матрицы"
4531,59.11,"Производство кинофильмов, видеофильмов и телевизионных программ",46.43,Торговля оптовая бытовыми электротоварами,Ссылка в классификаторе,2,"Деятельность '59.11' не включает операции, относящиеся к '46.43': дисками, цифровыми видеодисками с записями"
4532,59.11,"Производство кинофильмов, видеофильмов и телевизионных программ",46.52,Торговля оптовая электронным и телекоммуникационным оборудованием и его запасными частями,Ссылка в классификаторе,2,"Деятельность '59.11' не включает операции, относящиеся к '46.52': дисками"
4533,59.11,"Производство кинофильмов, видеофильмов и телевизионных программ",47.63,Торговля розничная музыкальными и видеозаписями в специализированных магазинах,Ссылка в классификаторе,2,"Деятельность '59.11' не включает операции, относящиеся к '47.63': дисками, цифровыми видеодисками"
4534,59.11,"Производство кинофильмов, видеофильмов и телевизионных программ",59.12,"Деятельность монтажно-компоновочная в области производства кинофильмов, видеофильмов и телевизионных программ",Ссылка в классификаторе,3,"Деятельность '59.11' не включает операции, относящиеся к '59.12': монтаж телевизионных программ"
4535,59.11,"Производство кинофильмов, видеофильмов и телевизионных программ",59.20,Деятельность в области звукозаписи и издания музыкальных произведений,Ссылка в классификаторе,3,"Деятельность '59.11' не включает операции, относящиеся к '59.20': звукозапись и запись книг на магнитные, электронные и цифровые носители"
4536,59.11,"Производство кинофильмов, видеофильмов и телевизионных программ",60.2,Деятельность в области телевизионного вещания,Ссылка в классификаторе,2,"Деятельность '59.11' не включает операции, относящиеся к '60.2': телевещание"
4537,59.11,"Производство кинофильмов, видеофильмов и телевизионных программ",74.20,Деятельность в области фотографии,Ссылка в классификаторе,3,"Деятельность '59.11' не включает операции, относящиеся к '74.20': обработку пленок, кроме используемых в кинопромышленности"
4538,59.11,"Производство кинофильмов, видеофильмов и телевизионных программ",74.90,"Деятельность профессиональная, научная и техническая прочая, не включенная в другие группировки",Ссылка в классификаторе,2,"Деятельность '59.11' не включает операции, относящиеся к '74.90': деятельность личных продюсеров или театральных агентов или агентств"
4539,59.11,"Производство кинофильмов, видеофильмов и телевизионных программ",77.22,"Прокат видеокассет и аудиокассет, грампластинок, компакт-дисков (CD), цифровых видеодисков (DVD)",Ссылка в классификаторе,2,"Деятельность '59.11' не включает операции, относящиеся к '77.22': прокат видеокассет и цифровых видеодисков для широкого круга потребителей"
